atlas_schema,atlas_version,priority,rule_id,record_type,match_field,match_operator,match_value,model_role,parent_role,required,description
dpi.anatomy_atlas.v1,1.1.0,990,left_ventricle_papillary_muscle,model_role,BlockName,contains,papillary_muscle,cardiovascular.heart.left_ventricle.papillary_muscle,cardiovascular.heart.left_ventricle,false,Blood-contact mitral papillary muscle surface retained as intracavitary geometry without vascular endpoint search
dpi.anatomy_atlas.v1,1.1.0,950,right_atrium,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Right_Atrium,cardiovascular.heart.right_atrium,cardiovascular.heart,true,Right atrial blood-contact inner surface
dpi.anatomy_atlas.v1,1.1.0,950,right_ventricle,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Right_Ventricle,cardiovascular.heart.right_ventricle,cardiovascular.heart,true,Right ventricular blood-contact inner surface
dpi.anatomy_atlas.v1,1.1.0,950,left_atrium,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Left_Atrium,cardiovascular.heart.left_atrium,cardiovascular.heart,true,Left atrial blood-contact inner surface
dpi.anatomy_atlas.v1,1.1.0,950,left_ventricle,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Left_Ventricle,cardiovascular.heart.left_ventricle,cardiovascular.heart,false,Fallback left ventricular surface role refined by higher-priority blood-contact layer rules
dpi.anatomy_atlas.v1,1.1.0,930,central_pulmonary_artery,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Pulmonary_Artery,cardiovascular.pulmonary.central_artery,cardiovascular.pulmonary,true,Central dynamic pulmonary artery surface
dpi.anatomy_atlas.v1,1.1.0,930,aorta,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Aorta,cardiovascular.systemic.aorta,cardiovascular.systemic,true,Central dynamic aortic surface
dpi.anatomy_atlas.v1,1.1.0,930,superior_vena_cava,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Superior_Vena_Cava,cardiovascular.systemic.superior_vena_cava,cardiovascular.systemic,false,Superior vena cava surface
dpi.anatomy_atlas.v1,1.1.0,930,inferior_vena_cava,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Inferior_Vena_Cava,cardiovascular.systemic.inferior_vena_cava,cardiovascular.systemic,false,Inferior vena cava surface
dpi.anatomy_atlas.v1,1.1.0,920,pericardium,model_role,HierarchyPath,exact,01_Cardiovascular/Heart/Pericardium,cardiovascular.heart.pericardium,cardiovascular.heart,false,Pericardial surface excluded from Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,900,pulmonary_arteries,model_role,HierarchyPath,prefix,01_Cardiovascular/Pulmonary_Circulation/Arteries,cardiovascular.pulmonary.arteries,cardiovascular.pulmonary,true,Pulmonary arterial fragments
dpi.anatomy_atlas.v1,1.1.0,900,pulmonary_veins,model_role,HierarchyPath,prefix,01_Cardiovascular/Pulmonary_Circulation/Veins,cardiovascular.pulmonary.veins,cardiovascular.pulmonary,true,Pulmonary venous fragments
dpi.anatomy_atlas.v1,1.1.0,880,coronary_arteries,model_role,HierarchyPath,prefix,01_Cardiovascular/Coronary_Circulation/Coronary_Arteries,cardiovascular.coronary.arteries,cardiovascular.coronary,false,Coronary arterial fragments
dpi.anatomy_atlas.v1,1.1.0,880,coronary_veins,model_role,HierarchyPath,prefix,01_Cardiovascular/Coronary_Circulation/Coronary_Veins,cardiovascular.coronary.veins,cardiovascular.coronary,false,Coronary venous fragments
dpi.anatomy_atlas.v1,1.1.0,850,cerebrovascular_arteries,model_role,HierarchyPath,prefix,01_Cardiovascular/Cerebrovascular/Arteries,cardiovascular.cerebrovascular.arteries,cardiovascular.cerebrovascular,false,Cerebrovascular arterial fragments
dpi.anatomy_atlas.v1,1.1.0,850,cerebrovascular_veins,model_role,HierarchyPath,prefix,01_Cardiovascular/Cerebrovascular/Veins_and_Dural_Sinuses,cardiovascular.cerebrovascular.veins,cardiovascular.cerebrovascular,false,Cerebrovascular venous and dural sinus fragments
dpi.anatomy_atlas.v1,1.1.0,820,systemic_arteries,model_role,HierarchyPath,prefix,01_Cardiovascular/Systemic_Arteries,cardiovascular.systemic.arteries,cardiovascular.systemic,false,Systemic arterial fragments
dpi.anatomy_atlas.v1,1.1.0,820,systemic_veins,model_role,HierarchyPath,prefix,01_Cardiovascular/Systemic_Veins,cardiovascular.systemic.veins,cardiovascular.systemic,false,Systemic venous fragments
dpi.anatomy_atlas.v1,1.1.0,820,portal_hepatic_veins,model_role,HierarchyPath,prefix,01_Cardiovascular/Portal_and_Hepatic_Venous_System,cardiovascular.portal_hepatic.veins,cardiovascular.portal_hepatic,false,Portal mesenteric and hepatic venous fragments
dpi.anatomy_atlas.v1,1.1.0,800,great_vessels,model_role,HierarchyPath,prefix,01_Cardiovascular/Great_Vessels,cardiovascular.great_vessels,cardiovascular,false,Other great-vessel surfaces
dpi.anatomy_atlas.v1,1.1.0,700,heart_fallback,model_role,HierarchyPath,prefix,01_Cardiovascular/Heart,cardiovascular.heart.unresolved,cardiovascular.heart,false,Unresolved cardiac surface excluded from Blood_Flow_v1 pending explicit blood-contact classification
dpi.anatomy_atlas.v1,1.1.0,100,cardiovascular_fallback,model_role,HierarchyPath,prefix,01_Cardiovascular,cardiovascular.unresolved,cardiovascular,false,Unresolved cardiovascular surface excluded from Blood_Flow_v1 pending explicit blood-contact classification
